Sentence	Sentence_Type	condition	slide	violation
l' attore dichiara che gli uomini davanti al figlio amico gli studenti	embedding_mental	SPS	-7	filler
la ginnastica che lo studente indica ama le amiche	objrel_that	SS	-1	filler
il salto che i fratelli accanto all' amica attraggono blocca la donna	objrel_nounpp	SPS	-1	filler
gli studenti che i dolori dietro al contadino incontrano criticano le amiche	objrel_nounpp	PPS	-3	filler
le ragazze dichiarano che le diatribe davanti al figlio saluta gli studenti	embedding_mental	PSS	-4	filler
le antipatie dicono che la contadina attrae il ragazzo	embedding_mental_SR	PS	-1	filler
i quaderni che le bambine amano salutano le ragazze	objrel_that	PP	-1	filler
la penna che le amiche davanti alla madre difendono indica l' uomo	objrel_nounpp	SPS	-1	filler
i padri che i sedili dietro alla ragazza evita indicano la bambina	objrel_nounpp	PSS	-3	filler
l' attore dice che il compasso dietro alle sorelle conoscono le figlie	embedding_mental	SPP	-4	filler
l' attore che il contadino difendono ama le ragazze	objrel_that	SS	4	num_violation
la donna che i contadini blocca osserva le ragazze	objrel_that	SP	4	num_violation
i padri che i bambini difende evitano l' attore	objrel_that	PP	4	num_violation
le studentesse che la madre ignorano amano i bambini	objrel_that	PS	4	num_violation
la studentessa che l' uomo indica osservano il contadino	objrel_that	SS	5	num_violation
l' amico che le madri guardano evitano le bambine	objrel_that	SP	5	num_violation
le studentesse che i bambini osservano incontra la donna	objrel_that	PP	5	num_violation
le ragazze che lo studente osserva conosce la bambina	objrel_that	PS	5	num_violation
l' attore che la sorella dietro alla bambina indicano saluta la figlia	objrel_nounpp	SSS	7	num_violation
la sorella che la ragazza accanto agli uomini ignorano critica le contadine	objrel_nounpp	SSP	7	num_violation
la ragazza che i fratelli vicino alla donna ignora indica gli attori	objrel_nounpp	SPS	7	num_violation
il contadino che le donne vicino ai bambini guarda incontra la figlia	objrel_nounpp	SPP	7	num_violation
le bambine che le figlie davanti ai fratelli interrompe osservano l' uomo	objrel_nounpp	PPP	7	num_violation
i ragazzi che le contadine davanti all' amica incontra criticano gli attori	objrel_nounpp	PPS	7	num_violation
le figlie che il ragazzo dietro alle madri ignorano interrompono le contadine	objrel_nounpp	PSP	7	num_violation
le madri che lo studente vicino al contadino amano guardano le amiche	objrel_nounpp	PSS	7	num_violation
il bambino che il padre vicino all' amica difende osservano i figli	objrel_nounpp	SSS	8	num_violation
la bambina che l' amica dietro alle madri attrae conoscono i figli	objrel_nounpp	SSP	8	num_violation
la madre che le amiche accanto al contadino attraggono conoscono il bambino	objrel_nounpp	SPS	8	num_violation
la studentessa che le amiche vicino ai padri difendono guardano i ragazzi	objrel_nounpp	SPP	8	num_violation
le contadine che i bambini dietro alle figlie criticano attrae l' amico	objrel_nounpp	PPP	8	num_violation
le ragazze che le studentesse accanto all' uomo difendono interrompe le donne	objrel_nounpp	PPS	8	num_violation
le ragazze che il figlio vicino alle bambine difende interrompe i fratelli	objrel_nounpp	PSP	8	num_violation
i ragazzi che la bambina davanti al figlio attrae guarda la sorella	objrel_nounpp	PSS	8	num_violation
la ragazza ricorda che lo studente osservano le madri	embedding_mental_SR	SS	5	num_violation
la donna dichiara che i contadini accoglie le attrici	embedding_mental_SR	SP	5	num_violation
le madri dicono che le contadine interrompe lo studente	embedding_mental_SR	PP	5	num_violation
i fratelli dichiarano che il bambino conoscono le madri	embedding_mental_SR	PS	5	num_violation
l' attore dice che la contadina dietro alla sorella salutano la studentessa	embedding_mental	SSS	7	num_violation
il bambino dichiara che la madre vicino alle ragazze guardano le donne	embedding_mental	SSP	7	num_violation
la madre dice che i fratelli accanto alla contadina osserva la donna	embedding_mental	SPS	7	num_violation
il padre ricorda che i contadini vicino alle studentesse difende le bambine	embedding_mental	SPP	7	num_violation
i contadini ricordano che le ragazze dietro agli amici evita i bambini	embedding_mental	PPP	7	num_violation
i contadini ricordano che le amiche accanto alla figlia guarda le donne	embedding_mental	PPS	7	num_violation
le bambine ricordano che il contadino vicino alle donne osservano l' attore	embedding_mental	PSP	7	num_violation
i contadini dicono che l' attore accanto alla madre osservano i ragazzi	embedding_mental	PSS	7	num_violation
la ragazza che la bambina critica incontra la contadina	objrel_that	SS	0	acceptable
la donna che il ragazzo blocca osserva la sorella	objrel_that	SS	0	acceptable
lo studente che i fratelli accolgono ferma gli uomini	objrel_that	SP	0	acceptable
la sorella che i bambini attraggono guarda i ragazzi	objrel_that	SP	0	acceptable
le sorelle che gli studenti ricordano evitano l' attore	objrel_that	PP	0	acceptable
gli studenti che gli amici conoscono interrompono i padri	objrel_that	PP	0	acceptable
i contadini che il padre ricorda attraggono il fratello	objrel_that	PS	0	acceptable
gli attori che la sorella difende attraggono l' uomo	objrel_that	PS	0	acceptable
la figlia ricorda che l' attrice critica il contadino	embedding_mental_SR	SS	0	acceptable
la madre dichiara che i ragazzi amano le studentesse	embedding_mental_SR	SP	0	acceptable
i fratelli dicono che gli studenti incontrano la contadina	embedding_mental_SR	PP	0	acceptable
le studentesse dicono che il fratello blocca la donna	embedding_mental_SR	PS	0	acceptable
la ragazza che il padre dietro alla figlia ferma indica gli amici	objrel_nounpp	SSS	0	acceptable
il ragazzo che la studentessa vicino al padre conosce ferma l' uomo	objrel_nounpp	SSS	0	acceptable
la sorella che il ragazzo dietro alle amiche blocca ama le studentesse	objrel_nounpp	SSP	0	acceptable
il fratello che la contadina accanto agli uomini ricorda indica l' amica	objrel_nounpp	SSP	0	acceptable
la donna che le bambine vicino al ragazzo attraggono ricorda il padre	objrel_nounpp	SPS	0	acceptable
l' amico che le attrici dietro alla ragazza evitano ricorda le donne	objrel_nounpp	SPS	0	acceptable
l' attore che i contadini davanti alle madri amano conosce le donne	objrel_nounpp	SPP	0	acceptable
il bambino che le attrici accanto ai padri incontrano ricorda la ragazza	objrel_nounpp	SPP	0	acceptable
i contadini che le attrici accanto alle donne ignorano amano gli uomini	objrel_nounpp	PPP	0	acceptable
le ragazze che gli uomini davanti ai figli attraggono guardano lo studente	objrel_nounpp	PPP	0	acceptable
gli studenti che i fratelli accanto al ragazzo conoscono difendono le madri	objrel_nounpp	PPS	0	acceptable
i bambini che i fratelli dietro al ragazzo attraggono salutano l' amico	objrel_nounpp	PPS	0	acceptable
i figli che la madre davanti alle amiche incontra evitano le ragazze	objrel_nounpp	PSP	0	acceptable
le contadine che il fratello accanto alle attrici critica attraggono la sorella	objrel_nounpp	PSP	0	acceptable
gli attori che il ragazzo dietro al fratello evita ignorano i bambini	objrel_nounpp	PSS	0	acceptable
le studentesse che la figlia davanti al bambino difende interrompono le sorelle	objrel_nounpp	PSS	0	acceptable
l' amico dice che l' attore davanti all' uomo attrae il contadino	embedding_mental	SSS	0	acceptable
l' uomo dichiara che la ragazza davanti alle madri accoglie la donna	embedding_mental	SSP	0	acceptable
la ragazza dichiara che i contadini davanti al fratello salutano la bambina	embedding_mental	SPS	0	acceptable
l' amico dice che le bambine vicino alle studentesse fermano i padri	embedding_mental	SPP	0	acceptable
i padri dichiarano che le attrici dietro ai bambini bloccano la contadina	embedding_mental	PPP	0	acceptable
le figlie dichiarano che le studentesse vicino alla sorella bloccano la contadina	embedding_mental	PPS	0	acceptable
i ragazzi dicono che la studentessa accanto alle bambine ama il fratello	embedding_mental	PSP	0	acceptable
i padri ricordano che la bambina vicino alla ragazza conosce l' uomo	embedding_mental	PSS	0	acceptable
la figlia che i padri incontrare conosce la donna	objrel_that	SP	-4	filler
la contadina che gli attori bloccano fermare gli studenti	objrel_that	SP	-5	filler
le ragazze che le madri accanto agli attori difendere salutano i bambini	objrel_nounpp	PPP	-7	filler
lo studente che le figlie dietro ai ragazzi salutare critica le attrici	objrel_nounpp	SPP	-7	filler
la madre che gli amici davanti alle contadine salutano conoscere il ragazzo	objrel_nounpp	SPP	-8	filler
le attrici che le madri vicino alla donna indicano accogliere il ragazzo	objrel_nounpp	PPS	-8	filler
gli uomini dichiarano che il ragazzo osservare le studentesse	embedding_mental_SR	PS	-5	filler
le studentesse dichiarano che gli uomini accanto alla bambina difendere i contadini	embedding_mental	PPS	-7	filler
i figli dicono che gli uomini davanti alle amiche indicare il fratello	embedding_mental	PPP	-7	filler
il figlio che le contadine saluti critica le bambine	objrel_that	SP	-4	filler
le donne che il fratello evita guardate i padri	objrel_that	PS	-5	filler
le studentesse che i contadini accanto alla sorella ricordate osservano l' attrice	objrel_nounpp	PPS	-7	filler
i bambini che l' amica dietro al figlio amo osservano la sorella	objrel_nounpp	PSS	-7	filler
la madre che le amiche vicino ai bambini indicano ricordo le sorelle	objrel_nounpp	SPP	-8	filler
i bambini che i ragazzi dietro alle donne incontrano difendete le madri	objrel_nounpp	PPP	-8	filler
la donna dichiara che le figlie davanti ai contadini difendiamo gli amici	embedding_mental	SPP	-7	filler
le studentesse ricordano che le donne vicino agli attori evitate le ragazze	embedding_mental	PPP	-7	filler
le sorelle dichiarano che i padri fermate l' amico	embedding_mental_SR	PP	-5	filler
le studentesse che le attrici donne ignorano l' amico	objrel_that	PP	-4	filler
l' amica che il bambino indica studente la donna	objrel_that	SS	-5	filler
le donne ricordano che l' attrice contadine il bambino	embedding_mental_SR	PS	-5	filler
le donne che la ragazza vicino al bambino padre amano gli attori	objrel_nounpp	PSS	-7	filler
la sorella che le bambine vicino agli attori uomo ignora le contadine	objrel_nounpp	SPP	-7	filler
l' amica che le studentesse vicino al fratello incontrano contadini le attrici	objrel_nounpp	SPS	-8	filler
i fratelli che l' uomo accanto alle madri interrompe bambina il ragazzo	objrel_nounpp	PSP	-8	filler
le madri dichiarano che la donna accanto al ragazzo figlie le sorelle	embedding_mental	PSS	-7	filler
la contadina dichiara che le studentesse accanto alle figlie madre le sorelle	embedding_mental	SPP	-7	filler
il dispiacere che le studentesse difendono blocca la sorella	objrel_that	SP	-1	filler
l' antipatia che i figli dietro alla contadina guardano ignora le bambine	objrel_nounpp	SPS	-1	filler
i fratelli che i sonni dietro alle bambine ignora accolgono le sorelle	objrel_nounpp	PSP	-3	filler
il bambino dichiara che il dolore vicino ai padri conoscono la donna	embedding_mental	SPP	-4	filler
le diatribe ricordano che l' attrice evita le contadine	embedding_mental_SR	PS	-1	filler
la penna che gli amici salutano conosce i figli	objrel_that	SP	-1	filler
la matita che le studentesse davanti al padre osservano saluta le figlie	objrel_nounpp	SPS	-1	filler
il contadino che il sedile dietro alle studentesse indica saluta le bambine	objrel_nounpp	SSP	-3	filler
le sorelle dicono che le sedie vicino ai contadini incontra le donne	embedding_mental	PSP	-4	filler
la studentessa che il figlio bloccano critica gli uomini	objrel_that	SS	4	num_violation
la bambina che le contadine attrae interrompe le ragazze	objrel_that	SP	4	num_violation
le sorelle che gli amici sogna incontrano i fratelli	objrel_that	PP	4	num_violation
le ragazze che l' uomo incontrano ricordano gli attori	objrel_that	PS	4	num_violation
l' attore che l' amica accoglie indicano lo studente	objrel_that	SS	5	num_violation
lo studente che i bambini amano evitano le sorelle	objrel_that	SP	5	num_violation
le ragazze che gli amici ricordano indica il padre	objrel_that	PP	5	num_violation
le studentesse che il ragazzo conosce ama le attrici	objrel_that	PS	5	num_violation
l' attrice che la ragazza vicino alla madre interrompono guarda le amiche	objrel_nounpp	SSS	7	num_violation
lo studente che il padre vicino alle donne interrompono critica le sorelle	objrel_nounpp	SSP	7	num_violation
la madre che gli uomini davanti all' attore guarda incontra l' amico	objrel_nounpp	SPS	7	num_violation
l' attrice che i padri accanto ai ragazzi conosce attrae la studentessa	objrel_nounpp	SPP	7	num_violation
gli amici che le donne vicino ai contadini guarda fermano gli studenti	objrel_nounpp	PPP	7	num_violation
gli amici che le attrici dietro alla madre sogna bloccano le bambine	objrel_nounpp	PPS	7	num_violation
le madri che la figlia dietro alle donne indicano difendono la bambina	objrel_nounpp	PSP	7	num_violation
gli uomini che la madre vicino all' attrice criticano indicano gli studenti	objrel_nounpp	PSS	7	num_violation
la ragazza che l' attrice accanto alla madre ignora interrompono le donne	objrel_nounpp	SSS	8	num_violation
il ragazzo che il bambino vicino alle figlie difende attraggono i contadini	objrel_nounpp	SSP	8	num_violation
il ragazzo che le studentesse davanti all' amica interrompono criticano l' attore	objrel_nounpp	SPS	8	num_violation
il fratello che le amiche dietro alle bambine indicano osservano le donne	objrel_nounpp	SPP	8	num_violation
le bambine che gli amici davanti alle donne conoscono attrae la studentessa	objrel_nounpp	PPP	8	num_violation
i figli che le studentesse accanto alla donna incontrano blocca la bambina	objrel_nounpp	PPS	8	num_violation
gli studenti che la ragazza accanto alle bambine indica conosce la figlia	objrel_nounpp	PSP	8	num_violation
le amiche che il figlio vicino alla sorella ignora indica lo studente	objrel_nounpp	PSS	8	num_violation
la studentessa ricorda che l' attore osservano i figli	embedding_mental_SR	SS	5	num_violation
il figlio ricorda che i bambini ama l' amico	embedding_mental_SR	SP	5	num_violation
le madri dicono che le figlie attrae gli uomini	embedding_mental_SR	PP	5	num_violation
le figlie ricordano che il ragazzo guardano la contadina	embedding_mental_SR	PS	5	num_violation
la bambina dice che il contadino vicino al padre amano la studentessa	embedding_mental	SSS	7	num_violation
il padre dice che la studentessa accanto ai contadini osservano le amiche	embedding_mental	SSP	7	num_violation
l' uomo dice che le studentesse vicino al fratello interrompe le madri	embedding_mental	SPS	7	num_violation
il ragazzo ricorda che le madri vicino alle figlie ignora il fratello	embedding_mental	SPP	7	num_violation
gli attori dichiarano che le donne vicino alle madri difende la sorella	embedding_mental	PPP	7	num_violation
gli studenti ricordano che le attrici accanto alla sorella evita le contadine	embedding_mental	PPS	7	num_violation
i contadini ricordano che la studentessa accanto agli amici bloccano la ragazza	embedding_mental	PSP	7	num_violation
le sorelle ricordano che il bambino davanti alla ragazza evitano la figlia	embedding_mental	PSS	7	num_violation
la donna che la bambina conosce saluta l' attore	objrel_that	SS	0	acceptable
l' uomo che il bambino osserva attrae il contadino	objrel_that	SS	0	acceptable
la donna che gli amici indicano ferma il padre	objrel_that	SP	0	acceptable
la figlia che i padri indicano ignora l' uomo	objrel_that	SP	0	acceptable
i padri che i contadini indicano interrompono le donne	objrel_that	PP	0	acceptable
i contadini che gli attori ignorano accolgono la sorella	objrel_that	PP	0	acceptable
gli studenti che l' amico osserva conoscono i ragazzi	objrel_that	PS	0	acceptable
i contadini che la bambina incontra amano le ragazze	objrel_that	PS	0	acceptable
la figlia dichiara che la donna attrae la studentessa	embedding_mental_SR	SS	0	acceptable
l' attore ricorda che i fratelli fermano il padre	embedding_mental_SR	SP	0	acceptable
le amiche dicono che i figli interrompono la donna	embedding_mental_SR	PP	0	acceptable
i bambini dichiarano che la madre accoglie la figlia	embedding_mental_SR	PS	0	acceptable
la ragazza che l' attrice vicino al padre blocca ferma la madre	objrel_nounpp	SSS	0	acceptable
il bambino che la contadina davanti alla ragazza guarda difende le figlie	objrel_nounpp	SSS	0	acceptable
il contadino che la madre accanto ai figli evita ignora il ragazzo	objrel_nounpp	SSP	0	acceptable
il fratello che la bambina davanti agli amici ricorda guarda l' uomo	objrel_nounpp	SSP	0	acceptable
la bambina che gli studenti accanto al ragazzo ricordano interrompe l' amica	objrel_nounpp	SPS	0	acceptable
la donna che le sorelle accanto alla bambina indicano conosce le attrici	objrel_nounpp	SPS	0	acceptable
lo studente che gli amici accanto alle attrici incontrano blocca il contadino	objrel_nounpp	SPP	0	acceptable
l' attrice che i fratelli vicino ai padri ricordano blocca l' uomo	objrel_nounpp	SPP	0	acceptable
le attrici che gli uomini dietro ai ragazzi osservano bloccano il contadino	objrel_nounpp	PPP	0	acceptable
le donne che gli amici dietro alle figlie attraggono evitano le bambine	objrel_nounpp	PPP	0	acceptable
i padri che gli attori davanti alla donna accolgono criticano le studentesse	objrel_nounpp	PPS	0	acceptable
le sorelle che i figli davanti allo studente incontrano conoscono la bambina	objrel_nounpp	PPS	0	acceptable
i fratelli che l' uomo vicino ai contadini osserva guardano l' attrice	objrel_nounpp	PSP	0	acceptable
le figlie che il ragazzo dietro agli studenti difende fermano la bambina	objrel_nounpp	PSP	0	acceptable
le bambine che la madre accanto all' attore indica interrompono il fratello	objrel_nounpp	PSS	0	acceptable
le attrici che la contadina dietro all' uomo interrompe attraggono la madre	objrel_nounpp	PSS	0	acceptable
il padre dichiara che il ragazzo vicino all' amica saluta le figlie	embedding_mental	SSS	0	acceptable
la studentessa dice che il padre accanto alle sorelle blocca l' amico	embedding_mental	SSP	0	acceptable
l' attore dice che i figli accanto alla sorella guardano le madri	embedding_mental	SPS	0	acceptable
lo studente dice che le amiche dietro alle sorelle attraggono il fratello	embedding_mental	SPP	0	acceptable
i fratelli dichiarano che le ragazze accanto alle donne conoscono il padre	embedding_mental	PPP	0	acceptable
gli attori dichiarano che gli studenti davanti al bambino osservano il fratello	embedding_mental	PPS	0	acceptable
i padri dicono che la studentessa accanto ai figli accoglie le contadine	embedding_mental	PSP	0	acceptable
le attrici dichiarano che la sorella vicino alla figlia difende i contadini	embedding_mental	PSS	0	acceptable
le figlie che lo studente ricordare bloccano i contadini	objrel_that	PS	-4	filler
le ragazze che i fratelli incontrano attrarre il bambino	objrel_that	PP	-5	filler
la sorella che gli uomini vicino allo studente difendere ferma il figlio	objrel_nounpp	SPS	-7	filler
le donne che l' amica accanto alla figlia amare indicano la contadina	objrel_nounpp	PSS	-7	filler
la ragazza che le contadine davanti agli studenti incontrano amare la bambina	objrel_nounpp	SPP	-8	filler
il ragazzo che gli studenti davanti ai figli accolgono fermare il fratello	objrel_nounpp	SPP	-8	filler
gli attori ricordano che il bambino incontrare le contadine	embedding_mental_SR	PS	-5	filler
i contadini dicono che gli amici accanto al padre interrompere gli uomini	embedding_mental	PPS	-7	filler
la studentessa dice che il bambino dietro alla sorella incontrare l' attore	embedding_mental	SSS	-7	filler
le attrici che la contadina dico indicano le donne	objrel_that	PS	-4	filler
gli attori che la madre accoglie dite le ragazze	objrel_that	PS	-5	filler
i ragazzi che i bambini dietro agli studenti criticate osservano gli uomini	objrel_nounpp	PPP	-7	filler
le studentesse che la madre accanto ai contadini osservo ignorano i ragazzi	objrel_nounpp	PSP	-7	filler
il bambino che l' attore davanti alle madri attrae interrompo le contadine	objrel_nounpp	SSP	-8	filler
la figlia che le contadine accanto all' uomo criticano difendo le bambine	objrel_nounpp	SPS	-8	filler
il fratello ricorda che la donna dietro al bambino osservi le ragazze	embedding_mental	SSS	-7	filler
l' uomo ricorda che i figli accanto al ragazzo sognate l' amico	embedding_mental	SPS	-7	filler
la studentessa dichiara che la madre osservi l' attrice	embedding_mental_SR	SS	-5	filler
gli amici che l' attore contadino guardano il ragazzo	objrel_that	PS	-4	filler
l' amica che lo studente ama attori il figlio	objrel_that	SS	-5	filler
la donna dice che i figli ragazzi l' attrice	embedding_mental_SR	SP	-5	filler
la donna che l' amico dietro al ragazzo figli incontra l' attore	objrel_nounpp	SSS	-7	filler
le amiche che gli studenti vicino alle attrici madre osservano le contadine	objrel_nounpp	PPP	-7	filler
i contadini che la figlia vicino allo studente incontra amica il ragazzo	objrel_nounpp	PSS	-8	filler
il bambino che l' attore davanti alle madri attrae figlia le contadine	objrel_nounpp	SSP	-8	filler
gli attori dicono che le ragazze vicino alla contadina studente l' amica	embedding_mental	PPS	-7	filler
la figlia ricorda che la studentessa vicino al contadino fratelli la bambina	embedding_mental	SSS	-7	filler
il sonno che le studentesse attraggono conosce l' uomo	objrel_that	SP	-1	filler
i piaceri che l' amica dietro allo studente conosce incontrano i fratelli	objrel_nounpp	PSS	-1	filler
i ragazzi che i dolori dietro alla contadina accoglie difendono i padri	objrel_nounpp	PSS	-3	filler
lo studente dice che il salto accanto all' attrice evita le donne	embedding_mental	SSS	-4	filler
i sonni dichiarano che gli amici guardano le figlie	embedding_mental_SR	PP	-1	filler
le matite che le attrici accolgono evitano il fratello	objrel_that	PP	-1	filler
il compasso che i ragazzi accanto al figlio incontrano evita l' attore	objrel_nounpp	SPS	-1	filler
le madri che le televisioni dietro al ragazzo amano criticano il fratello	objrel_nounpp	PPS	-3	filler
la donna dice che la lampada dietro al contadino fermano il fratello	embedding_mental	SPS	-4	filler
